Positions,Ratio,Frames,RatAge,Environment
1,1.625248114,2047,p17,Baseline
1,0.8102788409,741,p17,Similar
1,4.001913876,2091,p17,Similar
1,3.326789838,2881,p17,Baseline
1,1.220756376,1388,p17,Baseline
1,1.255312596,2038,p17,Different
1,2.202985075,2214,p17,Different
1,0.7321514135,764,p23,Similar
1,1.262130508,2263,p23,Baseline
1,0.6933540614,892,p23,Similar
1,0.9628406276,583,p23,Different
1,0.9073869901,1646,p23,Baseline
1,1.825981384,2256,p23,Baseline
2,1.0799117,1223,p17,Baseline
2,0.7775131015,816,p17,Similar
2,0.7650862069,1065,p17,Similar
2,0.5688622754,950,p17,Baseline
2,1.78254092,2287,p17,Baseline
2,0.9818031431,1187,p17,Different
2,0.8324646314,1118,p17,Different
2,1.08,864,p23,Similar
2,1.289648623,1358,p23,Baseline
2,1.122985581,1324,p23,Similar
2,0.3823391264,407,p23,Different
2,1.331230284,3165,p23,Baseline
2,1.391693291,3267,p23,Baseline